full_name,parent,shape,dtype,num_values
efficientnetb0/block2b_se_expand/bias:0,efficientnetb0/block2b_se_expand,"(144,)",float32,144
efficientnetb0/block2b_se_expand/kernel:0,efficientnetb0/block2b_se_expand,"(1, 1, 6, 144)",float32,864
efficientnetb0/block2b_se_reduce/bias:0,efficientnetb0/block2b_se_reduce,"(6,)",float32,6
efficientnetb0/block2b_se_reduce/kernel:0,efficientnetb0/block2b_se_reduce,"(1, 1, 144, 6)",float32,864
efficientnetb0/block3a_bn/beta:0,efficientnetb0/block3a_bn,"(144,)",float32,144
efficientnetb0/block3a_bn/gamma:0,efficientnetb0/block3a_bn,"(144,)",float32,144
efficientnetb0/block3a_bn/moving_mean:0,efficientnetb0/block3a_bn,"(144,)",float32,144
efficientnetb0/block3a_bn/moving_variance:0,efficientnetb0/block3a_bn,"(144,)",float32,144
efficientnetb0/block3a_dwconv/depthwise_kernel:0,efficientnetb0/block3a_dwconv,"(5, 5, 144, 1)",float32,3600
efficientnetb0/block3a_expand_bn/beta:0,efficientnetb0/block3a_expand_bn,"(144,)",float32,144
efficientnetb0/block3a_expand_bn/gamma:0,efficientnetb0/block3a_expand_bn,"(144,)",float32,144
efficientnetb0/block3a_expand_bn/moving_mean:0,efficientnetb0/block3a_expand_bn,"(144,)",float32,144
efficientnetb0/block3a_expand_bn/moving_variance:0,efficientnetb0/block3a_expand_bn,"(144,)",float32,144
efficientnetb0/block3a_expand_conv/kernel:0,efficientnetb0/block3a_expand_conv,"(1, 1, 24, 144)",float32,3456
efficientnetb0/block3a_project_bn/beta:0,efficientnetb0/block3a_project_bn,"(40,)",float32,40
efficientnetb0/block3a_project_bn/gamma:0,efficientnetb0/block3a_project_bn,"(40,)",float32,40
efficientnetb0/block3a_project_bn/moving_mean:0,efficientnetb0/block3a_project_bn,"(40,)",float32,40
efficientnetb0/block3a_project_bn/moving_variance:0,efficientnetb0/block3a_project_bn,"(40,)",float32,40
efficientnetb0/block3a_project_conv/kernel:0,efficientnetb0/block3a_project_conv,"(1, 1, 144, 40)",float32,5760
efficientnetb0/block3a_se_expand/bias:0,efficientnetb0/block3a_se_expand,"(144,)",float32,144
efficientnetb0/block3a_se_expand/kernel:0,efficientnetb0/block3a_se_expand,"(1, 1, 6, 144)",float32,864
efficientnetb0/block3a_se_reduce/bias:0,efficientnetb0/block3a_se_reduce,"(6,)",float32,6
efficientnetb0/block3a_se_reduce/kernel:0,efficientnetb0/block3a_se_reduce,"(1, 1, 144, 6)",float32,864
efficientnetb0/block3b_bn/beta:0,efficientnetb0/block3b_bn,"(240,)",float32,240
efficientnetb0/block3b_bn/gamma:0,efficientnetb0/block3b_bn,"(240,)",float32,240
efficientnetb0/block3b_bn/moving_mean:0,efficientnetb0/block3b_bn,"(240,)",float32,240
efficientnetb0/block3b_bn/moving_variance:0,efficientnetb0/block3b_bn,"(240,)",float32,240
efficientnetb0/block3b_dwconv/depthwise_kernel:0,efficientnetb0/block3b_dwconv,"(5, 5, 240, 1)",float32,6000
efficientnetb0/block3b_expand_bn/beta:0,efficientnetb0/block3b_expand_bn,"(240,)",float32,240
efficientnetb0/block3b_expand_bn/gamma:0,efficientnetb0/block3b_expand_bn,"(240,)",float32,240
efficientnetb0/block3b_expand_bn/moving_mean:0,efficientnetb0/block3b_expand_bn,"(240,)",float32,240
efficientnetb0/block3b_expand_bn/moving_variance:0,efficientnetb0/block3b_expand_bn,"(240,)",float32,240
efficientnetb0/block3b_expand_conv/kernel:0,efficientnetb0/block3b_expand_conv,"(1, 1, 40, 240)",float32,9600
efficientnetb0/block3b_project_bn/beta:0,efficientnetb0/block3b_project_bn,"(40,)",float32,40
efficientnetb0/block3b_project_bn/gamma:0,efficientnetb0/block3b_project_bn,"(40,)",float32,40
efficientnetb0/block3b_project_bn/moving_mean:0,efficientnetb0/block3b_project_bn,"(40,)",float32,40
efficientnetb0/block3b_project_bn/moving_variance:0,efficientnetb0/block3b_project_bn,"(40,)",float32,40
efficientnetb0/block3b_project_conv/kernel:0,efficientnetb0/block3b_project_conv,"(1, 1, 240, 40)",float32,9600
efficientnetb0/block3b_se_expand/bias:0,efficientnetb0/block3b_se_expand,"(240,)",float32,240
efficientnetb0/block3b_se_expand/kernel:0,efficientnetb0/block3b_se_expand,"(1, 1, 10, 240)",float32,2400
efficientnetb0/block3b_se_reduce/bias:0,efficientnetb0/block3b_se_reduce,"(10,)",float32,10
efficientnetb0/block3b_se_reduce/kernel:0,efficientnetb0/block3b_se_reduce,"(1, 1, 240, 10)",float32,2400
efficientnetb0/block4a_bn/beta:0,efficientnetb0/block4a_bn,"(240,)",float32,240
efficientnetb0/block4a_bn/gamma:0,efficientnetb0/block4a_bn,"(240,)",float32,240
efficientnetb0/block4a_bn/moving_mean:0,efficientnetb0/block4a_bn,"(240,)",float32,240
efficientnetb0/block4a_bn/moving_variance:0,efficientnetb0/block4a_bn,"(240,)",float32,240
efficientnetb0/block4a_dwconv/depthwise_kernel:0,efficientnetb0/block4a_dwconv,"(3, 3, 240, 1)",float32,2160
efficientnetb0/block4a_expand_bn/beta:0,efficientnetb0/block4a_expand_bn,"(240,)",float32,240
efficientnetb0/block4a_expand_bn/gamma:0,efficientnetb0/block4a_expand_bn,"(240,)",float32,240
efficientnetb0/block4a_expand_bn/moving_mean:0,efficientnetb0/block4a_expand_bn,"(240,)",float32,240
efficientnetb0/block4a_expand_bn/moving_variance:0,efficientnetb0/block4a_expand_bn,"(240,)",float32,240
efficientnetb0/block4a_expand_conv/kernel:0,efficientnetb0/block4a_expand_conv,"(1, 1, 40, 240)",float32,9600
efficientnetb0/block4a_project_bn/beta:0,efficientnetb0/block4a_project_bn,"(80,)",float32,80
efficientnetb0/block4a_project_bn/gamma:0,efficientnetb0/block4a_project_bn,"(80,)",float32,80
efficientnetb0/block4a_project_bn/moving_mean:0,efficientnetb0/block4a_project_bn,"(80,)",float32,80
efficientnetb0/block4a_project_bn/moving_variance:0,efficientnetb0/block4a_project_bn,"(80,)",float32,80
efficientnetb0/block4a_project_conv/kernel:0,efficientnetb0/block4a_project_conv,"(1, 1, 240, 80)",float32,19200
efficientnetb0/block4a_se_expand/bias:0,efficientnetb0/block4a_se_expand,"(240,)",float32,240
efficientnetb0/block4a_se_expand/kernel:0,efficientnetb0/block4a_se_expand,"(1, 1, 10, 240)",float32,2400
efficientnetb0/block4a_se_reduce/bias:0,efficientnetb0/block4a_se_reduce,"(10,)",float32,10
efficientnetb0/block4a_se_reduce/kernel:0,efficientnetb0/block4a_se_reduce,"(1, 1, 240, 10)",float32,2400
efficientnetb0/block4b_bn/beta:0,efficientnetb0/block4b_bn,"(480,)",float32,480
efficientnetb0/block4b_bn/gamma:0,efficientnetb0/block4b_bn,"(480,)",float32,480
efficientnetb0/block4b_bn/moving_mean:0,efficientnetb0/block4b_bn,"(480,)",float32,480
efficientnetb0/block4b_bn/moving_variance:0,efficientnetb0/block4b_bn,"(480,)",float32,480
efficientnetb0/block4b_dwconv/depthwise_kernel:0,efficientnetb0/block4b_dwconv,"(3, 3, 480, 1)",float32,4320
efficientnetb0/block4b_expand_bn/beta:0,efficientnetb0/block4b_expand_bn,"(480,)",float32,480
efficientnetb0/block4b_expand_bn/gamma:0,efficientnetb0/block4b_expand_bn,"(480,)",float32,480
efficientnetb0/block4b_expand_bn/moving_mean:0,efficientnetb0/block4b_expand_bn,"(480,)",float32,480
efficientnetb0/block4b_expand_bn/moving_variance:0,efficientnetb0/block4b_expand_bn,"(480,)",float32,480
efficientnetb0/block4b_expand_conv/kernel:0,efficientnetb0/block4b_expand_conv,"(1, 1, 80, 480)",float32,38400
efficientnetb0/block4b_project_bn/beta:0,efficientnetb0/block4b_project_bn,"(80,)",float32,80
efficientnetb0/block4b_project_bn/gamma:0,efficientnetb0/block4b_project_bn,"(80,)",float32,80
efficientnetb0/block4b_project_bn/moving_mean:0,efficientnetb0/block4b_project_bn,"(80,)",float32,80
efficientnetb0/block4b_project_bn/moving_variance:0,efficientnetb0/block4b_project_bn,"(80,)",float32,80
efficientnetb0/block4b_project_conv/kernel:0,efficientnetb0/block4b_project_conv,"(1, 1, 480, 80)",float32,38400
efficientnetb0/block4b_se_expand/bias:0,efficientnetb0/block4b_se_expand,"(480,)",float32,480
efficientnetb0/block4b_se_expand/kernel:0,efficientnetb0/block4b_se_expand,"(1, 1, 20, 480)",float32,9600
efficientnetb0/block4b_se_reduce/bias:0,efficientnetb0/block4b_se_reduce,"(20,)",float32,20
efficientnetb0/block4b_se_reduce/kernel:0,efficientnetb0/block4b_se_reduce,"(1, 1, 480, 20)",float32,9600
efficientnetb0/block4c_bn/beta:0,efficientnetb0/block4c_bn,"(480,)",float32,480
efficientnetb0/block4c_bn/gamma:0,efficientnetb0/block4c_bn,"(480,)",float32,480
efficientnetb0/block4c_bn/moving_mean:0,efficientnetb0/block4c_bn,"(480,)",float32,480
efficientnetb0/block4c_bn/moving_variance:0,efficientnetb0/block4c_bn,"(480,)",float32,480
efficientnetb0/block4c_dwconv/depthwise_kernel:0,efficientnetb0/block4c_dwconv,"(3, 3, 480, 1)",float32,4320
efficientnetb0/block4c_expand_bn/beta:0,efficientnetb0/block4c_expand_bn,"(480,)",float32,480
efficientnetb0/block4c_expand_bn/gamma:0,efficientnetb0/block4c_expand_bn,"(480,)",float32,480
efficientnetb0/block4c_expand_bn/moving_mean:0,efficientnetb0/block4c_expand_bn,"(480,)",float32,480
efficientnetb0/block4c_expand_bn/moving_variance:0,efficientnetb0/block4c_expand_bn,"(480,)",float32,480
efficientnetb0/block4c_expand_conv/kernel:0,efficientnetb0/block4c_expand_conv,"(1, 1, 80, 480)",float32,38400
efficientnetb0/block4c_project_bn/beta:0,efficientnetb0/block4c_project_bn,"(80,)",float32,80
efficientnetb0/block4c_project_bn/gamma:0,efficientnetb0/block4c_project_bn,"(80,)",float32,80
efficientnetb0/block4c_project_bn/moving_mean:0,efficientnetb0/block4c_project_bn,"(80,)",float32,80
efficientnetb0/block4c_project_bn/moving_variance:0,efficientnetb0/block4c_project_bn,"(80,)",float32,80
efficientnetb0/block4c_project_conv/kernel:0,efficientnetb0/block4c_project_conv,"(1, 1, 480, 80)",float32,38400
efficientnetb0/block4c_se_expand/bias:0,efficientnetb0/block4c_se_expand,"(480,)",float32,480
efficientnetb0/block4c_se_expand/kernel:0,efficientnetb0/block4c_se_expand,"(1, 1, 20, 480)",float32,9600
efficientnetb0/block4c_se_reduce/bias:0,efficientnetb0/block4c_se_reduce,"(20,)",float32,20
efficientnetb0/block4c_se_reduce/kernel:0,efficientnetb0/block4c_se_reduce,"(1, 1, 480, 20)",float32,9600
efficientnetb0/block5a_bn/beta:0,efficientnetb0/block5a_bn,"(480,)",float32,480
efficientnetb0/block5a_bn/gamma:0,efficientnetb0/block5a_bn,"(480,)",float32,480
efficientnetb0/block5a_bn/moving_mean:0,efficientnetb0/block5a_bn,"(480,)",float32,480
efficientnetb0/block5a_bn/moving_variance:0,efficientnetb0/block5a_bn,"(480,)",float32,480
efficientnetb0/block5a_dwconv/depthwise_kernel:0,efficientnetb0/block5a_dwconv,"(5, 5, 480, 1)",float32,12000
efficientnetb0/block5a_expand_bn/beta:0,efficientnetb0/block5a_expand_bn,"(480,)",float32,480
efficientnetb0/block5a_expand_bn/gamma:0,efficientnetb0/block5a_expand_bn,"(480,)",float32,480
efficientnetb0/block5a_expand_bn/moving_mean:0,efficientnetb0/block5a_expand_bn,"(480,)",float32,480
efficientnetb0/block5a_expand_bn/moving_variance:0,efficientnetb0/block5a_expand_bn,"(480,)",float32,480
efficientnetb0/block5a_expand_conv/kernel:0,efficientnetb0/block5a_expand_conv,"(1, 1, 80, 480)",float32,38400
efficientnetb0/block5a_project_bn/beta:0,efficientnetb0/block5a_project_bn,"(112,)",float32,112
efficientnetb0/block5a_project_bn/gamma:0,efficientnetb0/block5a_project_bn,"(112,)",float32,112
efficientnetb0/block5a_project_bn/moving_mean:0,efficientnetb0/block5a_project_bn,"(112,)",float32,112
efficientnetb0/block5a_project_bn/moving_variance:0,efficientnetb0/block5a_project_bn,"(112,)",float32,112
efficientnetb0/block5a_project_conv/kernel:0,efficientnetb0/block5a_project_conv,"(1, 1, 480, 112)",float32,53760
efficientnetb0/block5a_se_expand/bias:0,efficientnetb0/block5a_se_expand,"(480,)",float32,480
efficientnetb0/block5a_se_expand/kernel:0,efficientnetb0/block5a_se_expand,"(1, 1, 20, 480)",float32,9600
efficientnetb0/block5a_se_reduce/bias:0,efficientnetb0/block5a_se_reduce,"(20,)",float32,20
efficientnetb0/block5a_se_reduce/kernel:0,efficientnetb0/block5a_se_reduce,"(1, 1, 480, 20)",float32,9600
efficientnetb0/block5b_bn/beta:0,efficientnetb0/block5b_bn,"(672,)",float32,672
efficientnetb0/block5b_bn/gamma:0,efficientnetb0/block5b_bn,"(672,)",float32,672
efficientnetb0/block5b_bn/moving_mean:0,efficientnetb0/block5b_bn,"(672,)",float32,672
efficientnetb0/block5b_bn/moving_variance:0,efficientnetb0/block5b_bn,"(672,)",float32,672
efficientnetb0/block5b_dwconv/depthwise_kernel:0,efficientnetb0/block5b_dwconv,"(5, 5, 672, 1)",float32,16800
efficientnetb0/block5b_expand_bn/beta:0,efficientnetb0/block5b_expand_bn,"(672,)",float32,672
efficientnetb0/block5b_expand_bn/gamma:0,efficientnetb0/block5b_expand_bn,"(672,)",float32,672
efficientnetb0/block5b_expand_bn/moving_mean:0,efficientnetb0/block5b_expand_bn,"(672,)",float32,672
efficientnetb0/block5b_expand_bn/moving_variance:0,efficientnetb0/block5b_expand_bn,"(672,)",float32,672
efficientnetb0/block5b_expand_conv/kernel:0,efficientnetb0/block5b_expand_conv,"(1, 1, 112, 672)",float32,75264
efficientnetb0/block5b_project_bn/beta:0,efficientnetb0/block5b_project_bn,"(112,)",float32,112
efficientnetb0/block5b_project_bn/gamma:0,efficientnetb0/block5b_project_bn,"(112,)",float32,112
efficientnetb0/block5b_project_bn/moving_mean:0,efficientnetb0/block5b_project_bn,"(112,)",float32,112
efficientnetb0/block5b_project_bn/moving_variance:0,efficientnetb0/block5b_project_bn,"(112,)",float32,112
efficientnetb0/block5b_project_conv/kernel:0,efficientnetb0/block5b_project_conv,"(1, 1, 672, 112)",float32,75264
efficientnetb0/block5b_se_expand/bias:0,efficientnetb0/block5b_se_expand,"(672,)",float32,672
efficientnetb0/block5b_se_expand/kernel:0,efficientnetb0/block5b_se_expand,"(1, 1, 28, 672)",float32,18816
efficientnetb0/block5b_se_reduce/bias:0,efficientnetb0/block5b_se_reduce,"(28,)",float32,28
efficientnetb0/block5b_se_reduce/kernel:0,efficientnetb0/block5b_se_reduce,"(1, 1, 672, 28)",float32,18816
efficientnetb0/block5c_bn/beta:0,efficientnetb0/block5c_bn,"(672,)",float32,672
efficientnetb0/block5c_bn/gamma:0,efficientnetb0/block5c_bn,"(672,)",float32,672
efficientnetb0/block5c_bn/moving_mean:0,efficientnetb0/block5c_bn,"(672,)",float32,672
efficientnetb0/block5c_bn/moving_variance:0,efficientnetb0/block5c_bn,"(672,)",float32,672
efficientnetb0/block5c_dwconv/depthwise_kernel:0,efficientnetb0/block5c_dwconv,"(5, 5, 672, 1)",float32,16800
efficientnetb0/block5c_expand_bn/beta:0,efficientnetb0/block5c_expand_bn,"(672,)",float32,672
efficientnetb0/block5c_expand_bn/gamma:0,efficientnetb0/block5c_expand_bn,"(672,)",float32,672
efficientnetb0/block5c_expand_bn/moving_mean:0,efficientnetb0/block5c_expand_bn,"(672,)",float32,672
efficientnetb0/block5c_expand_bn/moving_variance:0,efficientnetb0/block5c_expand_bn,"(672,)",float32,672
efficientnetb0/block5c_expand_conv/kernel:0,efficientnetb0/block5c_expand_conv,"(1, 1, 112, 672)",float32,75264
efficientnetb0/block5c_project_bn/beta:0,efficientnetb0/block5c_project_bn,"(112,)",float32,112
efficientnetb0/block5c_project_bn/gamma:0,efficientnetb0/block5c_project_bn,"(112,)",float32,112
efficientnetb0/block5c_project_bn/moving_mean:0,efficientnetb0/block5c_project_bn,"(112,)",float32,112
efficientnetb0/block5c_project_bn/moving_variance:0,efficientnetb0/block5c_project_bn,"(112,)",float32,112
efficientnetb0/block5c_project_conv/kernel:0,efficientnetb0/block5c_project_conv,"(1, 1, 672, 112)",float32,75264
efficientnetb0/block5c_se_expand/bias:0,efficientnetb0/block5c_se_expand,"(672,)",float32,672
efficientnetb0/block5c_se_expand/kernel:0,efficientnetb0/block5c_se_expand,"(1, 1, 28, 672)",float32,18816
efficientnetb0/block5c_se_reduce/bias:0,efficientnetb0/block5c_se_reduce,"(28,)",float32,28
efficientnetb0/block5c_se_reduce/kernel:0,efficientnetb0/block5c_se_reduce,"(1, 1, 672, 28)",float32,18816
efficientnetb0/block6a_bn/beta:0,efficientnetb0/block6a_bn,"(672,)",float32,672
efficientnetb0/block6a_bn/gamma:0,efficientnetb0/block6a_bn,"(672,)",float32,672
efficientnetb0/block6a_bn/moving_mean:0,efficientnetb0/block6a_bn,"(672,)",float32,672
efficientnetb0/block6a_bn/moving_variance:0,efficientnetb0/block6a_bn,"(672,)",float32,672
efficientnetb0/block6a_dwconv/depthwise_kernel:0,efficientnetb0/block6a_dwconv,"(5, 5, 672, 1)",float32,16800
efficientnetb0/block6a_expand_bn/beta:0,efficientnetb0/block6a_expand_bn,"(672,)",float32,672
efficientnetb0/block6a_expand_bn/gamma:0,efficientnetb0/block6a_expand_bn,"(672,)",float32,672
efficientnetb0/block6a_expand_bn/moving_mean:0,efficientnetb0/block6a_expand_bn,"(672,)",float32,672
efficientnetb0/block6a_expand_bn/moving_variance:0,efficientnetb0/block6a_expand_bn,"(672,)",float32,672
efficientnetb0/block6a_expand_conv/kernel:0,efficientnetb0/block6a_expand_conv,"(1, 1, 112, 672)",float32,75264
efficientnetb0/block6a_project_bn/beta:0,efficientnetb0/block6a_project_bn,"(192,)",float32,192
efficientnetb0/block6a_project_bn/gamma:0,efficientnetb0/block6a_project_bn,"(192,)",float32,192
efficientnetb0/block6a_project_bn/moving_mean:0,efficientnetb0/block6a_project_bn,"(192,)",float32,192
efficientnetb0/block6a_project_bn/moving_variance:0,efficientnetb0/block6a_project_bn,"(192,)",float32,192
efficientnetb0/block6a_project_conv/kernel:0,efficientnetb0/block6a_project_conv,"(1, 1, 672, 192)",float32,129024
efficientnetb0/block6a_se_expand/bias:0,efficientnetb0/block6a_se_expand,"(672,)",float32,672
efficientnetb0/block6a_se_expand/kernel:0,efficientnetb0/block6a_se_expand,"(1, 1, 28, 672)",float32,18816
efficientnetb0/block6a_se_reduce/bias:0,efficientnetb0/block6a_se_reduce,"(28,)",float32,28
efficientnetb0/block6a_se_reduce/kernel:0,efficientnetb0/block6a_se_reduce,"(1, 1, 672, 28)",float32,18816
efficientnetb0/block6b_bn/beta:0,efficientnetb0/block6b_bn,"(1152,)",float32,1152
efficientnetb0/block6b_bn/gamma:0,efficientnetb0/block6b_bn,"(1152,)",float32,1152
efficientnetb0/block6b_bn/moving_mean:0,efficientnetb0/block6b_bn,"(1152,)",float32,1152
efficientnetb0/block6b_bn/moving_variance:0,efficientnetb0/block6b_bn,"(1152,)",float32,1152
efficientnetb0/block6b_dwconv/depthwise_kernel:0,efficientnetb0/block6b_dwconv,"(5, 5, 1152, 1)",float32,28800
efficientnetb0/block6b_expand_bn/beta:0,efficientnetb0/block6b_expand_bn,"(1152,)",float32,1152
efficientnetb0/block6b_expand_bn/gamma:0,efficientnetb0/block6b_expand_bn,"(1152,)",float32,1152
efficientnetb0/block6b_expand_bn/moving_mean:0,efficientnetb0/block6b_expand_bn,"(1152,)",float32,1152
efficientnetb0/block6b_expand_bn/moving_variance:0,efficientnetb0/block6b_expand_bn,"(1152,)",float32,1152
efficientnetb0/block6b_expand_conv/kernel:0,efficientnetb0/block6b_expand_conv,"(1, 1, 192, 1152)",float32,221184
efficientnetb0/block6b_project_bn/beta:0,efficientnetb0/block6b_project_bn,"(192,)",float32,192
efficientnetb0/block6b_project_bn/gamma:0,efficientnetb0/block6b_project_bn,"(192,)",float32,192
efficientnetb0/block6b_project_bn/moving_mean:0,efficientnetb0/block6b_project_bn,"(192,)",float32,192
efficientnetb0/block6b_project_bn/moving_variance:0,efficientnetb0/block6b_project_bn,"(192,)",float32,192
efficientnetb0/block6b_project_conv/kernel:0,efficientnetb0/block6b_project_conv,"(1, 1, 1152, 192)",float32,221184
efficientnetb0/block6b_se_expand/bias:0,efficientnetb0/block6b_se_expand,"(1152,)",float32,1152
efficientnetb0/block6b_se_expand/kernel:0,efficientnetb0/block6b_se_expand,"(1, 1, 48, 1152)",float32,55296
efficientnetb0/block6b_se_reduce/bias:0,efficientnetb0/block6b_se_reduce,"(48,)",float32,48
efficientnetb0/block6b_se_reduce/kernel:0,efficientnetb0/block6b_se_reduce,"(1, 1, 1152, 48)",float32,55296
efficientnetb0/block6c_bn/beta:0,efficientnetb0/block6c_bn,"(1152,)",float32,1152
efficientnetb0/block6c_bn/gamma:0,efficientnetb0/block6c_bn,"(1152,)",float32,1152
efficientnetb0/block6c_bn/moving_mean:0,efficientnetb0/block6c_bn,"(1152,)",float32,1152
efficientnetb0/block6c_bn/moving_variance:0,efficientnetb0/block6c_bn,"(1152,)",float32,1152
efficientnetb0/block6c_dwconv/depthwise_kernel:0,efficientnetb0/block6c_dwconv,"(5, 5, 1152, 1)",float32,28800
efficientnetb0/block6c_expand_bn/beta:0,efficientnetb0/block6c_expand_bn,"(1152,)",float32,1152
efficientnetb0/block6c_expand_bn/gamma:0,efficientnetb0/block6c_expand_bn,"(1152,)",float32,1152
efficientnetb0/block6c_expand_bn/moving_mean:0,efficientnetb0/block6c_expand_bn,"(1152,)",float32,1152
efficientnetb0/block6c_expand_bn/moving_variance:0,efficientnetb0/block6c_expand_bn,"(1152,)",float32,1152
efficientnetb0/block6c_expand_conv/kernel:0,efficientnetb0/block6c_expand_conv,"(1, 1, 192, 1152)",float32,221184
