EFFICIENTNET-B0 KERAS H5 SERIALIZATION METADATA
====================================================================================================
H5 file: D:\MSC Bioinformatics\INTERNSHIP\BrainTumor\models\efficientnetb0\efficientnetb0_best_weights.h5
Metadata records: 320

STATUS COUNTS
----------------------------------------------------------------------------------------------------
FOUND: 320

SERIALIZED WEIGHT ORDER
----------------------------------------------------------------------------------------------------
layer=1 | layer_name=efficientnetb0 | weight=96 | name=block3a_project_bn/beta:0 | shape=(40,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=97 | name=block3a_project_bn/moving_mean:0 | shape=(40,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=98 | name=block3a_project_bn/moving_variance:0 | shape=(40,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=99 | name=block3b_expand_conv/kernel:0 | shape=(1, 1, 40, 240) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=100 | name=block3b_expand_bn/gamma:0 | shape=(240,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=101 | name=block3b_expand_bn/beta:0 | shape=(240,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=102 | name=block3b_expand_bn/moving_mean:0 | shape=(240,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=103 | name=block3b_expand_bn/moving_variance:0 | shape=(240,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=104 | name=block3b_dwconv/depthwise_kernel:0 | shape=(5, 5, 240, 1) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=105 | name=block3b_bn/gamma:0 | shape=(240,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=106 | name=block3b_bn/beta:0 | shape=(240,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=107 | name=block3b_bn/moving_mean:0 | shape=(240,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=108 | name=block3b_bn/moving_variance:0 | shape=(240,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=109 | name=block3b_se_reduce/kernel:0 | shape=(1, 1, 240, 10) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=110 | name=block3b_se_reduce/bias:0 | shape=(10,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=111 | name=block3b_se_expand/kernel:0 | shape=(1, 1, 10, 240) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=112 | name=block3b_se_expand/bias:0 | shape=(240,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=113 | name=block3b_project_conv/kernel:0 | shape=(1, 1, 240, 40) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=114 | name=block3b_project_bn/gamma:0 | shape=(40,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=115 | name=block3b_project_bn/beta:0 | shape=(40,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=116 | name=block3b_project_bn/moving_mean:0 | shape=(40,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=117 | name=block3b_project_bn/moving_variance:0 | shape=(40,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=118 | name=block4a_expand_conv/kernel:0 | shape=(1, 1, 40, 240) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=119 | name=block4a_expand_bn/gamma:0 | shape=(240,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=120 | name=block4a_expand_bn/beta:0 | shape=(240,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=121 | name=block4a_expand_bn/moving_mean:0 | shape=(240,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=122 | name=block4a_expand_bn/moving_variance:0 | shape=(240,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=123 | name=block4a_dwconv/depthwise_kernel:0 | shape=(3, 3, 240, 1) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=124 | name=block4a_bn/gamma:0 | shape=(240,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=125 | name=block4a_bn/beta:0 | shape=(240,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=126 | name=block4a_bn/moving_mean:0 | shape=(240,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=127 | name=block4a_bn/moving_variance:0 | shape=(240,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=128 | name=block4a_se_reduce/kernel:0 | shape=(1, 1, 240, 10) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=129 | name=block4a_se_reduce/bias:0 | shape=(10,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=130 | name=block4a_se_expand/kernel:0 | shape=(1, 1, 10, 240) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=131 | name=block4a_se_expand/bias:0 | shape=(240,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=132 | name=block4a_project_conv/kernel:0 | shape=(1, 1, 240, 80) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=133 | name=block4a_project_bn/gamma:0 | shape=(80,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=134 | name=block4a_project_bn/beta:0 | shape=(80,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=135 | name=block4a_project_bn/moving_mean:0 | shape=(80,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=136 | name=block4a_project_bn/moving_variance:0 | shape=(80,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=137 | name=block4b_expand_conv/kernel:0 | shape=(1, 1, 80, 480) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=138 | name=block4b_expand_bn/gamma:0 | shape=(480,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=139 | name=block4b_expand_bn/beta:0 | shape=(480,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=140 | name=block4b_expand_bn/moving_mean:0 | shape=(480,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=141 | name=block4b_expand_bn/moving_variance:0 | shape=(480,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=142 | name=block4b_dwconv/depthwise_kernel:0 | shape=(3, 3, 480, 1) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=143 | name=block4b_bn/gamma:0 | shape=(480,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=144 | name=block4b_bn/beta:0 | shape=(480,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=145 | name=block4b_bn/moving_mean:0 | shape=(480,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=146 | name=block4b_bn/moving_variance:0 | shape=(480,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=147 | name=block4b_se_reduce/kernel:0 | shape=(1, 1, 480, 20) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=148 | name=block4b_se_reduce/bias:0 | shape=(20,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=149 | name=block4b_se_expand/kernel:0 | shape=(1, 1, 20, 480) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=150 | name=block4b_se_expand/bias:0 | shape=(480,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=151 | name=block4b_project_conv/kernel:0 | shape=(1, 1, 480, 80) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=152 | name=block4b_project_bn/gamma:0 | shape=(80,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=153 | name=block4b_project_bn/beta:0 | shape=(80,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=154 | name=block4b_project_bn/moving_mean:0 | shape=(80,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=155 | name=block4b_project_bn/moving_variance:0 | shape=(80,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=156 | name=block4c_expand_conv/kernel:0 | shape=(1, 1, 80, 480) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=157 | name=block4c_expand_bn/gamma:0 | shape=(480,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=158 | name=block4c_expand_bn/beta:0 | shape=(480,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=159 | name=block4c_expand_bn/moving_mean:0 | shape=(480,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=160 | name=block4c_expand_bn/moving_variance:0 | shape=(480,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=161 | name=block4c_dwconv/depthwise_kernel:0 | shape=(3, 3, 480, 1) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=162 | name=block4c_bn/gamma:0 | shape=(480,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=163 | name=block4c_bn/beta:0 | shape=(480,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=164 | name=block4c_bn/moving_mean:0 | shape=(480,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=165 | name=block4c_bn/moving_variance:0 | shape=(480,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=166 | name=block4c_se_reduce/kernel:0 | shape=(1, 1, 480, 20) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=167 | name=block4c_se_reduce/bias:0 | shape=(20,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=168 | name=block4c_se_expand/kernel:0 | shape=(1, 1, 20, 480) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=169 | name=block4c_se_expand/bias:0 | shape=(480,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=170 | name=block4c_project_conv/kernel:0 | shape=(1, 1, 480, 80) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=171 | name=block4c_project_bn/gamma:0 | shape=(80,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=172 | name=block4c_project_bn/beta:0 | shape=(80,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=173 | name=block4c_project_bn/moving_mean:0 | shape=(80,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=174 | name=block4c_project_bn/moving_variance:0 | shape=(80,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=175 | name=block5a_expand_conv/kernel:0 | shape=(1, 1, 80, 480) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=176 | name=block5a_expand_bn/gamma:0 | shape=(480,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=177 | name=block5a_expand_bn/beta:0 | shape=(480,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=178 | name=block5a_expand_bn/moving_mean:0 | shape=(480,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=179 | name=block5a_expand_bn/moving_variance:0 | shape=(480,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=180 | name=block5a_dwconv/depthwise_kernel:0 | shape=(5, 5, 480, 1) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=181 | name=block5a_bn/gamma:0 | shape=(480,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=182 | name=block5a_bn/beta:0 | shape=(480,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=183 | name=block5a_bn/moving_mean:0 | shape=(480,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=184 | name=block5a_bn/moving_variance:0 | shape=(480,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=185 | name=block5a_se_reduce/kernel:0 | shape=(1, 1, 480, 20) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=186 | name=block5a_se_reduce/bias:0 | shape=(20,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=187 | name=block5a_se_expand/kernel:0 | shape=(1, 1, 20, 480) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=188 | name=block5a_se_expand/bias:0 | shape=(480,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=189 | name=block5a_project_conv/kernel:0 | shape=(1, 1, 480, 112) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=190 | name=block5a_project_bn/gamma:0 | shape=(112,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=191 | name=block5a_project_bn/beta:0 | shape=(112,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=192 | name=block5a_project_bn/moving_mean:0 | shape=(112,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=193 | name=block5a_project_bn/moving_variance:0 | shape=(112,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=194 | name=block5b_expand_conv/kernel:0 | shape=(1, 1, 112, 672) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=195 | name=block5b_expand_bn/gamma:0 | shape=(672,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=196 | name=block5b_expand_bn/beta:0 | shape=(672,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=197 | name=block5b_expand_bn/moving_mean:0 | shape=(672,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=198 | name=block5b_expand_bn/moving_variance:0 | shape=(672,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=199 | name=block5b_dwconv/depthwise_kernel:0 | shape=(5, 5, 672, 1) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=200 | name=block5b_bn/gamma:0 | shape=(672,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=201 | name=block5b_bn/beta:0 | shape=(672,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=202 | name=block5b_bn/moving_mean:0 | shape=(672,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=203 | name=block5b_bn/moving_variance:0 | shape=(672,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=204 | name=block5b_se_reduce/kernel:0 | shape=(1, 1, 672, 28) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=205 | name=block5b_se_reduce/bias:0 | shape=(28,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=206 | name=block5b_se_expand/kernel:0 | shape=(1, 1, 28, 672) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=207 | name=block5b_se_expand/bias:0 | shape=(672,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=208 | name=block5b_project_conv/kernel:0 | shape=(1, 1, 672, 112) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=209 | name=block5b_project_bn/gamma:0 | shape=(112,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=210 | name=block5b_project_bn/beta:0 | shape=(112,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=211 | name=block5b_project_bn/moving_mean:0 | shape=(112,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=212 | name=block5b_project_bn/moving_variance:0 | shape=(112,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=213 | name=block5c_expand_conv/kernel:0 | shape=(1, 1, 112, 672) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=214 | name=block5c_expand_bn/gamma:0 | shape=(672,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=215 | name=block5c_expand_bn/beta:0 | shape=(672,) | status=FOUND
layer=1 | layer_name=efficientnetb0 | weight=216 | name=block5c_expand_bn/moving_mean:0 | shape=(672,) | status=FOUND
