variable_name,shape,ndim,num_values,layer_guess
block2b_expand_bn/gamma:0,"(144,)",1,144,block2b_expand_bn
block2b_expand_bn/beta:0,"(144,)",1,144,block2b_expand_bn
block2b_expand_bn/moving_mean:0,"(144,)",1,144,block2b_expand_bn
block2b_expand_bn/moving_variance:0,"(144,)",1,144,block2b_expand_bn
block2b_dwconv/depthwise_kernel:0,"(3, 3, 144, 1)",4,1296,block2b_dwconv
block2b_bn/gamma:0,"(144,)",1,144,block2b_bn
block2b_bn/beta:0,"(144,)",1,144,block2b_bn
block2b_bn/moving_mean:0,"(144,)",1,144,block2b_bn
block2b_bn/moving_variance:0,"(144,)",1,144,block2b_bn
block2b_se_reduce/kernel:0,"(1, 1, 144, 6)",4,864,block2b_se_reduce
block2b_se_reduce/bias:0,"(6,)",1,6,block2b_se_reduce
block2b_se_expand/kernel:0,"(1, 1, 6, 144)",4,864,block2b_se_expand
block2b_se_expand/bias:0,"(144,)",1,144,block2b_se_expand
block2b_project_conv/kernel:0,"(1, 1, 144, 24)",4,3456,block2b_project_conv
block2b_project_bn/gamma:0,"(24,)",1,24,block2b_project_bn
block2b_project_bn/beta:0,"(24,)",1,24,block2b_project_bn
block2b_project_bn/moving_mean:0,"(24,)",1,24,block2b_project_bn
block2b_project_bn/moving_variance:0,"(24,)",1,24,block2b_project_bn
block3a_expand_conv/kernel:0,"(1, 1, 24, 144)",4,3456,block3a_expand_conv
block3a_expand_bn/gamma:0,"(144,)",1,144,block3a_expand_bn
block3a_expand_bn/beta:0,"(144,)",1,144,block3a_expand_bn
block3a_expand_bn/moving_mean:0,"(144,)",1,144,block3a_expand_bn
block3a_expand_bn/moving_variance:0,"(144,)",1,144,block3a_expand_bn
block3a_dwconv/depthwise_kernel:0,"(5, 5, 144, 1)",4,3600,block3a_dwconv
block3a_bn/gamma:0,"(144,)",1,144,block3a_bn
block3a_bn/beta:0,"(144,)",1,144,block3a_bn
block3a_bn/moving_mean:0,"(144,)",1,144,block3a_bn
block3a_bn/moving_variance:0,"(144,)",1,144,block3a_bn
block3a_se_reduce/kernel:0,"(1, 1, 144, 6)",4,864,block3a_se_reduce
block3a_se_reduce/bias:0,"(6,)",1,6,block3a_se_reduce
block3a_se_expand/kernel:0,"(1, 1, 6, 144)",4,864,block3a_se_expand
block3a_se_expand/bias:0,"(144,)",1,144,block3a_se_expand
block3a_project_conv/kernel:0,"(1, 1, 144, 40)",4,5760,block3a_project_conv
block3a_project_bn/gamma:0,"(40,)",1,40,block3a_project_bn
block3a_project_bn/beta:0,"(40,)",1,40,block3a_project_bn
block3a_project_bn/moving_mean:0,"(40,)",1,40,block3a_project_bn
block3a_project_bn/moving_variance:0,"(40,)",1,40,block3a_project_bn
block3b_expand_conv/kernel:0,"(1, 1, 40, 240)",4,9600,block3b_expand_conv
block3b_expand_bn/gamma:0,"(240,)",1,240,block3b_expand_bn
block3b_expand_bn/beta:0,"(240,)",1,240,block3b_expand_bn
block3b_expand_bn/moving_mean:0,"(240,)",1,240,block3b_expand_bn
block3b_expand_bn/moving_variance:0,"(240,)",1,240,block3b_expand_bn
block3b_dwconv/depthwise_kernel:0,"(5, 5, 240, 1)",4,6000,block3b_dwconv
block3b_bn/gamma:0,"(240,)",1,240,block3b_bn
block3b_bn/beta:0,"(240,)",1,240,block3b_bn
block3b_bn/moving_mean:0,"(240,)",1,240,block3b_bn
block3b_bn/moving_variance:0,"(240,)",1,240,block3b_bn
block3b_se_reduce/kernel:0,"(1, 1, 240, 10)",4,2400,block3b_se_reduce
block3b_se_reduce/bias:0,"(10,)",1,10,block3b_se_reduce
block3b_se_expand/kernel:0,"(1, 1, 10, 240)",4,2400,block3b_se_expand
block3b_se_expand/bias:0,"(240,)",1,240,block3b_se_expand
block3b_project_conv/kernel:0,"(1, 1, 240, 40)",4,9600,block3b_project_conv
block3b_project_bn/gamma:0,"(40,)",1,40,block3b_project_bn
block3b_project_bn/beta:0,"(40,)",1,40,block3b_project_bn
block3b_project_bn/moving_mean:0,"(40,)",1,40,block3b_project_bn
block3b_project_bn/moving_variance:0,"(40,)",1,40,block3b_project_bn
block4a_expand_conv/kernel:0,"(1, 1, 40, 240)",4,9600,block4a_expand_conv
block4a_expand_bn/gamma:0,"(240,)",1,240,block4a_expand_bn
block4a_expand_bn/beta:0,"(240,)",1,240,block4a_expand_bn
block4a_expand_bn/moving_mean:0,"(240,)",1,240,block4a_expand_bn
block4a_expand_bn/moving_variance:0,"(240,)",1,240,block4a_expand_bn
block4a_dwconv/depthwise_kernel:0,"(3, 3, 240, 1)",4,2160,block4a_dwconv
block4a_bn/gamma:0,"(240,)",1,240,block4a_bn
block4a_bn/beta:0,"(240,)",1,240,block4a_bn
block4a_bn/moving_mean:0,"(240,)",1,240,block4a_bn
block4a_bn/moving_variance:0,"(240,)",1,240,block4a_bn
block4a_se_reduce/kernel:0,"(1, 1, 240, 10)",4,2400,block4a_se_reduce
block4a_se_reduce/bias:0,"(10,)",1,10,block4a_se_reduce
block4a_se_expand/kernel:0,"(1, 1, 10, 240)",4,2400,block4a_se_expand
block4a_se_expand/bias:0,"(240,)",1,240,block4a_se_expand
block4a_project_conv/kernel:0,"(1, 1, 240, 80)",4,19200,block4a_project_conv
block4a_project_bn/gamma:0,"(80,)",1,80,block4a_project_bn
block4a_project_bn/beta:0,"(80,)",1,80,block4a_project_bn
block4a_project_bn/moving_mean:0,"(80,)",1,80,block4a_project_bn
block4a_project_bn/moving_variance:0,"(80,)",1,80,block4a_project_bn
block4b_expand_conv/kernel:0,"(1, 1, 80, 480)",4,38400,block4b_expand_conv
block4b_expand_bn/gamma:0,"(480,)",1,480,block4b_expand_bn
block4b_expand_bn/beta:0,"(480,)",1,480,block4b_expand_bn
block4b_expand_bn/moving_mean:0,"(480,)",1,480,block4b_expand_bn
block4b_expand_bn/moving_variance:0,"(480,)",1,480,block4b_expand_bn
block4b_dwconv/depthwise_kernel:0,"(3, 3, 480, 1)",4,4320,block4b_dwconv
block4b_bn/gamma:0,"(480,)",1,480,block4b_bn
block4b_bn/beta:0,"(480,)",1,480,block4b_bn
block4b_bn/moving_mean:0,"(480,)",1,480,block4b_bn
block4b_bn/moving_variance:0,"(480,)",1,480,block4b_bn
block4b_se_reduce/kernel:0,"(1, 1, 480, 20)",4,9600,block4b_se_reduce
block4b_se_reduce/bias:0,"(20,)",1,20,block4b_se_reduce
block4b_se_expand/kernel:0,"(1, 1, 20, 480)",4,9600,block4b_se_expand
block4b_se_expand/bias:0,"(480,)",1,480,block4b_se_expand
block4b_project_conv/kernel:0,"(1, 1, 480, 80)",4,38400,block4b_project_conv
block4b_project_bn/gamma:0,"(80,)",1,80,block4b_project_bn
block4b_project_bn/beta:0,"(80,)",1,80,block4b_project_bn
block4b_project_bn/moving_mean:0,"(80,)",1,80,block4b_project_bn
block4b_project_bn/moving_variance:0,"(80,)",1,80,block4b_project_bn
block4c_expand_conv/kernel:0,"(1, 1, 80, 480)",4,38400,block4c_expand_conv
block4c_expand_bn/gamma:0,"(480,)",1,480,block4c_expand_bn
block4c_expand_bn/beta:0,"(480,)",1,480,block4c_expand_bn
block4c_expand_bn/moving_mean:0,"(480,)",1,480,block4c_expand_bn
block4c_expand_bn/moving_variance:0,"(480,)",1,480,block4c_expand_bn
block4c_dwconv/depthwise_kernel:0,"(3, 3, 480, 1)",4,4320,block4c_dwconv
block4c_bn/gamma:0,"(480,)",1,480,block4c_bn
block4c_bn/beta:0,"(480,)",1,480,block4c_bn
block4c_bn/moving_mean:0,"(480,)",1,480,block4c_bn
block4c_bn/moving_variance:0,"(480,)",1,480,block4c_bn
block4c_se_reduce/kernel:0,"(1, 1, 480, 20)",4,9600,block4c_se_reduce
block4c_se_reduce/bias:0,"(20,)",1,20,block4c_se_reduce
block4c_se_expand/kernel:0,"(1, 1, 20, 480)",4,9600,block4c_se_expand
block4c_se_expand/bias:0,"(480,)",1,480,block4c_se_expand
block4c_project_conv/kernel:0,"(1, 1, 480, 80)",4,38400,block4c_project_conv
block4c_project_bn/gamma:0,"(80,)",1,80,block4c_project_bn
block4c_project_bn/beta:0,"(80,)",1,80,block4c_project_bn
block4c_project_bn/moving_mean:0,"(80,)",1,80,block4c_project_bn
block4c_project_bn/moving_variance:0,"(80,)",1,80,block4c_project_bn
block5a_expand_conv/kernel:0,"(1, 1, 80, 480)",4,38400,block5a_expand_conv
block5a_expand_bn/gamma:0,"(480,)",1,480,block5a_expand_bn
block5a_expand_bn/beta:0,"(480,)",1,480,block5a_expand_bn
block5a_expand_bn/moving_mean:0,"(480,)",1,480,block5a_expand_bn
block5a_expand_bn/moving_variance:0,"(480,)",1,480,block5a_expand_bn
block5a_dwconv/depthwise_kernel:0,"(5, 5, 480, 1)",4,12000,block5a_dwconv
block5a_bn/gamma:0,"(480,)",1,480,block5a_bn
block5a_bn/beta:0,"(480,)",1,480,block5a_bn
block5a_bn/moving_mean:0,"(480,)",1,480,block5a_bn
block5a_bn/moving_variance:0,"(480,)",1,480,block5a_bn
block5a_se_reduce/kernel:0,"(1, 1, 480, 20)",4,9600,block5a_se_reduce
block5a_se_reduce/bias:0,"(20,)",1,20,block5a_se_reduce
block5a_se_expand/kernel:0,"(1, 1, 20, 480)",4,9600,block5a_se_expand
block5a_se_expand/bias:0,"(480,)",1,480,block5a_se_expand
block5a_project_conv/kernel:0,"(1, 1, 480, 112)",4,53760,block5a_project_conv
block5a_project_bn/gamma:0,"(112,)",1,112,block5a_project_bn
block5a_project_bn/beta:0,"(112,)",1,112,block5a_project_bn
block5a_project_bn/moving_mean:0,"(112,)",1,112,block5a_project_bn
block5a_project_bn/moving_variance:0,"(112,)",1,112,block5a_project_bn
block5b_expand_conv/kernel:0,"(1, 1, 112, 672)",4,75264,block5b_expand_conv
block5b_expand_bn/gamma:0,"(672,)",1,672,block5b_expand_bn
block5b_expand_bn/beta:0,"(672,)",1,672,block5b_expand_bn
block5b_expand_bn/moving_mean:0,"(672,)",1,672,block5b_expand_bn
block5b_expand_bn/moving_variance:0,"(672,)",1,672,block5b_expand_bn
block5b_dwconv/depthwise_kernel:0,"(5, 5, 672, 1)",4,16800,block5b_dwconv
block5b_bn/gamma:0,"(672,)",1,672,block5b_bn
block5b_bn/beta:0,"(672,)",1,672,block5b_bn
block5b_bn/moving_mean:0,"(672,)",1,672,block5b_bn
block5b_bn/moving_variance:0,"(672,)",1,672,block5b_bn
block5b_se_reduce/kernel:0,"(1, 1, 672, 28)",4,18816,block5b_se_reduce
block5b_se_reduce/bias:0,"(28,)",1,28,block5b_se_reduce
block5b_se_expand/kernel:0,"(1, 1, 28, 672)",4,18816,block5b_se_expand
block5b_se_expand/bias:0,"(672,)",1,672,block5b_se_expand
block5b_project_conv/kernel:0,"(1, 1, 672, 112)",4,75264,block5b_project_conv
block5b_project_bn/gamma:0,"(112,)",1,112,block5b_project_bn
block5b_project_bn/beta:0,"(112,)",1,112,block5b_project_bn
block5b_project_bn/moving_mean:0,"(112,)",1,112,block5b_project_bn
block5b_project_bn/moving_variance:0,"(112,)",1,112,block5b_project_bn
block5c_expand_conv/kernel:0,"(1, 1, 112, 672)",4,75264,block5c_expand_conv
block5c_expand_bn/gamma:0,"(672,)",1,672,block5c_expand_bn
block5c_expand_bn/beta:0,"(672,)",1,672,block5c_expand_bn
block5c_expand_bn/moving_mean:0,"(672,)",1,672,block5c_expand_bn
block5c_expand_bn/moving_variance:0,"(672,)",1,672,block5c_expand_bn
block5c_dwconv/depthwise_kernel:0,"(5, 5, 672, 1)",4,16800,block5c_dwconv
block5c_bn/gamma:0,"(672,)",1,672,block5c_bn
block5c_bn/beta:0,"(672,)",1,672,block5c_bn
block5c_bn/moving_mean:0,"(672,)",1,672,block5c_bn
block5c_bn/moving_variance:0,"(672,)",1,672,block5c_bn
block5c_se_reduce/kernel:0,"(1, 1, 672, 28)",4,18816,block5c_se_reduce
block5c_se_reduce/bias:0,"(28,)",1,28,block5c_se_reduce
block5c_se_expand/kernel:0,"(1, 1, 28, 672)",4,18816,block5c_se_expand
block5c_se_expand/bias:0,"(672,)",1,672,block5c_se_expand
block5c_project_conv/kernel:0,"(1, 1, 672, 112)",4,75264,block5c_project_conv
block5c_project_bn/gamma:0,"(112,)",1,112,block5c_project_bn
block5c_project_bn/beta:0,"(112,)",1,112,block5c_project_bn
block5c_project_bn/moving_mean:0,"(112,)",1,112,block5c_project_bn
block5c_project_bn/moving_variance:0,"(112,)",1,112,block5c_project_bn
block6a_expand_conv/kernel:0,"(1, 1, 112, 672)",4,75264,block6a_expand_conv
block6a_expand_bn/gamma:0,"(672,)",1,672,block6a_expand_bn
block6a_expand_bn/beta:0,"(672,)",1,672,block6a_expand_bn
block6a_expand_bn/moving_mean:0,"(672,)",1,672,block6a_expand_bn
block6a_expand_bn/moving_variance:0,"(672,)",1,672,block6a_expand_bn
block6a_dwconv/depthwise_kernel:0,"(5, 5, 672, 1)",4,16800,block6a_dwconv
block6a_bn/gamma:0,"(672,)",1,672,block6a_bn
block6a_bn/beta:0,"(672,)",1,672,block6a_bn
block6a_bn/moving_mean:0,"(672,)",1,672,block6a_bn
block6a_bn/moving_variance:0,"(672,)",1,672,block6a_bn
block6a_se_reduce/kernel:0,"(1, 1, 672, 28)",4,18816,block6a_se_reduce
block6a_se_reduce/bias:0,"(28,)",1,28,block6a_se_reduce
block6a_se_expand/kernel:0,"(1, 1, 28, 672)",4,18816,block6a_se_expand
block6a_se_expand/bias:0,"(672,)",1,672,block6a_se_expand
block6a_project_conv/kernel:0,"(1, 1, 672, 192)",4,129024,block6a_project_conv
block6a_project_bn/gamma:0,"(192,)",1,192,block6a_project_bn
block6a_project_bn/beta:0,"(192,)",1,192,block6a_project_bn
block6a_project_bn/moving_mean:0,"(192,)",1,192,block6a_project_bn
block6a_project_bn/moving_variance:0,"(192,)",1,192,block6a_project_bn
block6b_expand_conv/kernel:0,"(1, 1, 192, 1152)",4,221184,block6b_expand_conv
block6b_expand_bn/gamma:0,"(1152,)",1,1152,block6b_expand_bn
block6b_expand_bn/beta:0,"(1152,)",1,1152,block6b_expand_bn
block6b_expand_bn/moving_mean:0,"(1152,)",1,1152,block6b_expand_bn
block6b_expand_bn/moving_variance:0,"(1152,)",1,1152,block6b_expand_bn
block6b_dwconv/depthwise_kernel:0,"(5, 5, 1152, 1)",4,28800,block6b_dwconv
block6b_bn/gamma:0,"(1152,)",1,1152,block6b_bn
block6b_bn/beta:0,"(1152,)",1,1152,block6b_bn
block6b_bn/moving_mean:0,"(1152,)",1,1152,block6b_bn
block6b_bn/moving_variance:0,"(1152,)",1,1152,block6b_bn
block6b_se_reduce/kernel:0,"(1, 1, 1152, 48)",4,55296,block6b_se_reduce
block6b_se_reduce/bias:0,"(48,)",1,48,block6b_se_reduce
block6b_se_expand/kernel:0,"(1, 1, 48, 1152)",4,55296,block6b_se_expand
block6b_se_expand/bias:0,"(1152,)",1,1152,block6b_se_expand
block6b_project_conv/kernel:0,"(1, 1, 1152, 192)",4,221184,block6b_project_conv
block6b_project_bn/gamma:0,"(192,)",1,192,block6b_project_bn
block6b_project_bn/beta:0,"(192,)",1,192,block6b_project_bn
block6b_project_bn/moving_mean:0,"(192,)",1,192,block6b_project_bn
block6b_project_bn/moving_variance:0,"(192,)",1,192,block6b_project_bn
block6c_expand_conv/kernel:0,"(1, 1, 192, 1152)",4,221184,block6c_expand_conv
block6c_expand_bn/gamma:0,"(1152,)",1,1152,block6c_expand_bn
block6c_expand_bn/beta:0,"(1152,)",1,1152,block6c_expand_bn
block6c_expand_bn/moving_mean:0,"(1152,)",1,1152,block6c_expand_bn
block6c_expand_bn/moving_variance:0,"(1152,)",1,1152,block6c_expand_bn
block6c_dwconv/depthwise_kernel:0,"(5, 5, 1152, 1)",4,28800,block6c_dwconv
block6c_bn/gamma:0,"(1152,)",1,1152,block6c_bn
block6c_bn/beta:0,"(1152,)",1,1152,block6c_bn
block6c_bn/moving_mean:0,"(1152,)",1,1152,block6c_bn
block6c_bn/moving_variance:0,"(1152,)",1,1152,block6c_bn
block6c_se_reduce/kernel:0,"(1, 1, 1152, 48)",4,55296,block6c_se_reduce
block6c_se_reduce/bias:0,"(48,)",1,48,block6c_se_reduce
block6c_se_expand/kernel:0,"(1, 1, 48, 1152)",4,55296,block6c_se_expand
block6c_se_expand/bias:0,"(1152,)",1,1152,block6c_se_expand
block6c_project_conv/kernel:0,"(1, 1, 1152, 192)",4,221184,block6c_project_conv
block6c_project_bn/gamma:0,"(192,)",1,192,block6c_project_bn
block6c_project_bn/beta:0,"(192,)",1,192,block6c_project_bn
block6c_project_bn/moving_mean:0,"(192,)",1,192,block6c_project_bn
block6c_project_bn/moving_variance:0,"(192,)",1,192,block6c_project_bn
block6d_expand_conv/kernel:0,"(1, 1, 192, 1152)",4,221184,block6d_expand_conv
block6d_expand_bn/gamma:0,"(1152,)",1,1152,block6d_expand_bn
block6d_expand_bn/beta:0,"(1152,)",1,1152,block6d_expand_bn
block6d_expand_bn/moving_mean:0,"(1152,)",1,1152,block6d_expand_bn
block6d_expand_bn/moving_variance:0,"(1152,)",1,1152,block6d_expand_bn
block6d_dwconv/depthwise_kernel:0,"(5, 5, 1152, 1)",4,28800,block6d_dwconv
block6d_bn/gamma:0,"(1152,)",1,1152,block6d_bn
block6d_bn/beta:0,"(1152,)",1,1152,block6d_bn
block6d_bn/moving_mean:0,"(1152,)",1,1152,block6d_bn
block6d_bn/moving_variance:0,"(1152,)",1,1152,block6d_bn
block6d_se_reduce/kernel:0,"(1, 1, 1152, 48)",4,55296,block6d_se_reduce
block6d_se_reduce/bias:0,"(48,)",1,48,block6d_se_reduce
block6d_se_expand/kernel:0,"(1, 1, 48, 1152)",4,55296,block6d_se_expand
block6d_se_expand/bias:0,"(1152,)",1,1152,block6d_se_expand
block6d_project_conv/kernel:0,"(1, 1, 1152, 192)",4,221184,block6d_project_conv
block6d_project_bn/gamma:0,"(192,)",1,192,block6d_project_bn
block6d_project_bn/beta:0,"(192,)",1,192,block6d_project_bn
block6d_project_bn/moving_mean:0,"(192,)",1,192,block6d_project_bn
block6d_project_bn/moving_variance:0,"(192,)",1,192,block6d_project_bn
block7a_expand_conv/kernel:0,"(1, 1, 192, 1152)",4,221184,block7a_expand_conv
block7a_expand_bn/gamma:0,"(1152,)",1,1152,block7a_expand_bn
block7a_expand_bn/beta:0,"(1152,)",1,1152,block7a_expand_bn
block7a_expand_bn/moving_mean:0,"(1152,)",1,1152,block7a_expand_bn
block7a_expand_bn/moving_variance:0,"(1152,)",1,1152,block7a_expand_bn
block7a_dwconv/depthwise_kernel:0,"(3, 3, 1152, 1)",4,10368,block7a_dwconv
block7a_bn/gamma:0,"(1152,)",1,1152,block7a_bn
block7a_bn/beta:0,"(1152,)",1,1152,block7a_bn
block7a_bn/moving_mean:0,"(1152,)",1,1152,block7a_bn
block7a_bn/moving_variance:0,"(1152,)",1,1152,block7a_bn
block7a_se_reduce/kernel:0,"(1, 1, 1152, 48)",4,55296,block7a_se_reduce
block7a_se_reduce/bias:0,"(48,)",1,48,block7a_se_reduce
block7a_se_expand/kernel:0,"(1, 1, 48, 1152)",4,55296,block7a_se_expand
block7a_se_expand/bias:0,"(1152,)",1,1152,block7a_se_expand
block7a_project_conv/kernel:0,"(1, 1, 1152, 320)",4,368640,block7a_project_conv
block7a_project_bn/gamma:0,"(320,)",1,320,block7a_project_bn
block7a_project_bn/beta:0,"(320,)",1,320,block7a_project_bn
block7a_project_bn/moving_mean:0,"(320,)",1,320,block7a_project_bn
block7a_project_bn/moving_variance:0,"(320,)",1,320,block7a_project_bn
top_conv/kernel:0,"(1, 1, 320, 1280)",4,409600,top_conv
top_bn/gamma:0,"(1280,)",1,1280,top_bn
top_bn/beta:0,"(1280,)",1,1280,top_bn
top_bn/moving_mean:0,"(1280,)",1,1280,top_bn
top_bn/moving_variance:0,"(1280,)",1,1280,top_bn
classifier_batchnorm/gamma:0,"(1280,)",1,1280,classifier_batchnorm
classifier_batchnorm/beta:0,"(1280,)",1,1280,classifier_batchnorm
classifier_batchnorm/moving_mean:0,"(1280,)",1,1280,classifier_batchnorm
classifier_batchnorm/moving_variance:0,"(1280,)",1,1280,classifier_batchnorm
classifier_dense/kernel:0,"(1280, 256)",2,327680,classifier_dense
classifier_dense/bias:0,"(256,)",1,256,classifier_dense
predictions/kernel:0,"(256, 4)",2,1024,predictions
predictions/bias:0,"(4,)",1,4,predictions
